rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
EXECUTIVE SUITE WITH BALCONY Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Standard Room 2 Queen bed non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Twin/Double room - Superior - Sea View Sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double or Twin Room with Sea View,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
STANDARD 2 (2AD),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard STANDARD TWIN ROOM,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Alexandre,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Triple Room (1 Double Bed and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Economy Economy (No Window),room,economy,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Double or Twin Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - King - Signature Twin/Double room - King - Signature various,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
SEAVIEW DOUBLE Breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Accessible Studio,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa 4 bedrooms - Royal - Private pool - Sea view Breakfast,room,undefined,private bathroom,undefined,undefined,4 bedroom,not club,no balcony,undefined,undefined
Green Park Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room King bed - De Luxe - Sofa bed Double room King bed - De Luxe - Sofa bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic Room,room,classic,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Suite, 5 Bedrooms",suite,undefined,private bathroom,undefined,undefined,5 bedroom,not club,no balcony,undefined,undefined
Suite premium room with 1 double bed (attic) double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,attic floor
Studio room twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Duplex Twin Villa with Plunge Pool,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,duplex floor
Apartment Double Room-Non-Smoking,apartment,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Triple Creek View with Balcony Free Beach Transfer,25% off Food & Beverage",room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,with balcony,undefined,undefined
"Room, 1 King Bed with Sofa bed, Accessible (Shower)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite Basic with breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard business double or twin room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa - King - Superior - Garden view Villa - King - Superior - Garden view garden,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Terrace Garden Access (Deposit required) (1 Double Bed),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Villa Villa - Deluxe (1 Double or 1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Apartment Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"MELIA ROOM Melia Room, Room (1 Double or 1 Twin)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium Deluxe Ocean View - King BB - Long Stay,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 Bedroom, Sea View (1 Queen Bed)",room,deluxe,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
"Standard Double Room, Non Smoking",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Room (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Ronda,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Double or Twin SUPERIOR,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Double or Twin Room, 2 Twin Beds",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premier Premier Sea View - NRF Sea,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Deluxe Triple DELUXE TRIPLE,room,deluxe,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Family suite Full Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Room with 2 Twin Beds Breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Twin Room Room Only,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Beach Sunrise Villa Private Pool-50% off on transfers till 30 Sep'24 on FB & AI for 4 Nights & above (1 King Bed),room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family suite room with kitchen double (Main Building),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Seaview Deluxe Seaview Breakfast Included (1 King),room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard triple room with garden view (bath),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
room for two persons twin without window,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Family Suite Partial Sea View With Balcony Family Suite Partial Sea View With Balcony,Room Only (1 Double or 1 Twin)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Junior Suite (3 adults + 1 child) (4 Twin Beds),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Sloane Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Conte Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Palm Sea View Suite Double Half Board,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Family Room, 1 King Bed, Non Smoking, City View(with breakfast)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Comfort Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Grand Suite, 1 Twin Bed, Smoking (1 Twin Bed)",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
4 BEDROOM SUITE -  SUPERIOR Breakfast,suite,undefined,private bathroom,undefined,undefined,4 bedroom,not club,no balcony,undefined,undefined
"Apartment, 1 Bedroom, Balcony (2 Adults + 2 Children) (2 Twin Beds and 1 Double Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,with balcony,undefined,undefined
sharedBed in 4-bed dormitory   in block,dorm,undefined,shared bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Executive Suite, 1 Bedroom, Mountain View (1 King Bed)",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
"Deluxe Deluxe Room, 1 King Bed, Sea View Sea",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Queen With Drinks And Snacks 2 Queen With Drinks And Snacks,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family FAMILY ROOM,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Executive Room Golden Horn View,room,executive,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartment Corporate (without kitchen) double,apartment,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Studio apartment twin,suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premier Lagoon View Room Premier Lagoon View Double (1 Double),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Deluxe King Room City View, 1 Double Bed City",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Family Connecting Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Pool Water Villa - Seaplane Transfer included Full Board,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Tropical Twin/Double room - Tropical,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"1 Queen Bed, Non-Smoking, Superior Room, Work Desk (1 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic Double Room Double Room (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Standard (Labyrinth) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Single room - De Luxe - Sea View Single room - De Luxe - Sea View sea,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"LUXURY ROOM - Queen Size or European King Size Bed Luxury Room - Queen Size Or European King Sizebed,Room Only (1 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Club Room, 2 Twin Beds, Lounge access, City view",room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
Deluxe family room (attic) twin,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,attic floor
Apartment - Double - Smoking (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Executive Room Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
